#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120  16
# Band-Index    1
   1.90653    -13.848606  0.572  0.056  0.000  0.102  0.000  0.000  0.000  0.000  0.000  0.730
   1.92837    -13.802973  0.570  0.058  0.000  0.104  0.000  0.000  0.000  0.000  0.000  0.732
   1.95020    -13.755110  0.566  0.062  0.000  0.104  0.000  0.000  0.000  0.000  0.000  0.732
   1.97203    -13.705055  0.564  0.064  0.000  0.106  0.000  0.000  0.000  0.000  0.000  0.732
   1.99387    -13.652781  0.560  0.066  0.000  0.106  0.000  0.000  0.000  0.000  0.000  0.732
   2.01570    -13.598303  0.556  0.070  0.000  0.108  0.000  0.000  0.000  0.000  0.000  0.734
   2.03753    -13.541619  0.554  0.072  0.000  0.108  0.000  0.000  0.000  0.000  0.000  0.734
   2.05937    -13.482737  0.550  0.076  0.000  0.110  0.000  0.000  0.000  0.000  0.000  0.734
   2.08120    -13.421654  0.546  0.078  0.000  0.110  0.000  0.000  0.000  0.000  0.000  0.734
   2.10303    -13.358390  0.542  0.082  0.000  0.112  0.000  0.000  0.000  0.000  0.000  0.736
   2.12487    -13.292924  0.538  0.086  0.000  0.112  0.000  0.000  0.000  0.000  0.000  0.736
   2.14670    -13.225268  0.534  0.088  0.000  0.114  0.000  0.000  0.000  0.000  0.000  0.736
   2.16853    -13.155448  0.530  0.092  0.000  0.114  0.000  0.000  0.000  0.000  0.000  0.738
   2.19037    -13.083480  0.526  0.096  0.000  0.116  0.000  0.000  0.000  0.000  0.000  0.738
   2.21220    -13.009354  0.522  0.100  0.000  0.116  0.000  0.000  0.000  0.000  0.000  0.738
   2.23403    -12.933069  0.518  0.104  0.000  0.118  0.000  0.000  0.000  0.000  0.000  0.740
   2.25587    -12.854665  0.512  0.108  0.000  0.120  0.000  0.000  0.000  0.000  0.000  0.740
   2.27770    -12.774172  0.508  0.112  0.000  0.120  0.000  0.000  0.000  0.000  0.000  0.740
   2.29953    -12.691904  0.504  0.116  0.000  0.122  0.000  0.000  0.000  0.000  0.000  0.742
   2.32137    -12.610432  0.498  0.122  0.000  0.122  0.000  0.000  0.000  0.000  0.000  0.742
   2.32137    -12.610432  0.498  0.122  0.000  0.122  0.000  0.000  0.000  0.000  0.000  0.742
   2.36496    -12.776847  0.502  0.140  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.738
   2.40856    -13.015454  0.502  0.150  0.000  0.082  0.000  0.000  0.000  0.000  0.000  0.732
   2.45215    -13.281664  0.500  0.154  0.000  0.072  0.000  0.000  0.000  0.000  0.000  0.726
   2.49575    -13.563378  0.500  0.156  0.000  0.064  0.000  0.000  0.000  0.000  0.000  0.720
   2.53934    -13.852913  0.502  0.154  0.000  0.060  0.000  0.000  0.000  0.000  0.000  0.714
   2.58294    -14.145272  0.504  0.150  0.000  0.056  0.000  0.000  0.000  0.000  0.000  0.708
   2.62653    -14.437175  0.508  0.144  0.000  0.052  0.000  0.000  0.000  0.000  0.000  0.704
   2.67013    -14.726361  0.512  0.138  0.000  0.048  0.000  0.000  0.000  0.000  0.000  0.700
   2.71372    -15.011256  0.518  0.132  0.000  0.046  0.000  0.000  0.000  0.000  0.000  0.696
   2.75732    -15.290733  0.522  0.126  0.000  0.042  0.000  0.000  0.000  0.000  0.000  0.692
   2.80091    -15.563878  0.530  0.118  0.000  0.040  0.000  0.000  0.000  0.000  0.000  0.688
   2.84451    -15.830039  0.536  0.112  0.000  0.038  0.000  0.000  0.000  0.000  0.000  0.684
   2.88810    -16.088665  0.542  0.104  0.000  0.034  0.000  0.000  0.000  0.000  0.000  0.682
   2.93170    -16.339346  0.548  0.098  0.000  0.032  0.000  0.000  0.000  0.000  0.000  0.678
   2.97529    -16.581737  0.556  0.090  0.000  0.030  0.000  0.000  0.000  0.000  0.000  0.676
   3.01889    -16.815523  0.562  0.084  0.000  0.028  0.000  0.000  0.000  0.000  0.000  0.672
   3.06248    -17.040476  0.568  0.076  0.000  0.026  0.000  0.000  0.000  0.000  0.000  0.670
   3.10608    -17.256384  0.574  0.070  0.000  0.024  0.000  0.000  0.000  0.000  0.000  0.668
   3.14967    -17.463055  0.580  0.064  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.666
   3.19327    -17.660301  0.586  0.058  0.000  0.020  0.000  0.000  0.000  0.000  0.000  0.664
   3.23686    -17.848064  0.592  0.052  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.662
   3.28046    -18.026175  0.596  0.046  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.660
   3.32405    -18.194571  0.602  0.042  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.658
   3.36765    -18.353129  0.606  0.036  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.656
   3.41124    -18.501772  0.612  0.032  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.654
   3.45484    -18.640406  0.616  0.028  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.652
   3.49843    -18.768999  0.620  0.024  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.652
   3.54203    -18.887493  0.624  0.020  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.650
