#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120  16
# Band-Index    1
   3.35281    -16.849247  0.298  0.008  0.000  0.024  0.000  0.000  0.000  0.000  0.000  0.330
   3.39050    -16.693320  0.296  0.009  0.000  0.026  0.000  0.000  0.000  0.000  0.000  0.331
   3.42819    -16.530194  0.293  0.010  0.000  0.029  0.000  0.000  0.000  0.000  0.000  0.332
   3.46588    -16.359934  0.291  0.011  0.000  0.031  0.000  0.000  0.000  0.000  0.000  0.333
   3.50357    -16.182645  0.288  0.011  0.000  0.034  0.000  0.000  0.000  0.000  0.000  0.334
   3.54126    -15.998411  0.286  0.012  0.000  0.037  0.000  0.000  0.000  0.000  0.000  0.335
   3.57894    -15.807371  0.283  0.013  0.000  0.039  0.000  0.000  0.000  0.000  0.000  0.336
   3.61663    -15.609687  0.281  0.014  0.000  0.042  0.000  0.000  0.000  0.000  0.000  0.337
   3.65432    -15.405521  0.278  0.015  0.000  0.045  0.000  0.000  0.000  0.000  0.000  0.338
   3.69201    -15.195099  0.276  0.016  0.000  0.048  0.000  0.000  0.000  0.000  0.000  0.339
   3.72970    -14.978741  0.273  0.017  0.000  0.050  0.000  0.000  0.000  0.000  0.000  0.341
   3.76739    -14.756887  0.271  0.018  0.000  0.053  0.000  0.000  0.000  0.000  0.000  0.342
   3.80508    -14.530149  0.270  0.019  0.000  0.055  0.000  0.000  0.000  0.000  0.000  0.344
   3.84277    -14.299488  0.269  0.019  0.000  0.058  0.000  0.000  0.000  0.000  0.000  0.346
   3.88046    -14.066499  0.269  0.020  0.000  0.059  0.000  0.000  0.000  0.000  0.000  0.348
   3.91814    -13.833985  0.270  0.020  0.000  0.060  0.000  0.000  0.000  0.000  0.000  0.350
   3.95583    -13.607372  0.274  0.020  0.000  0.059  0.000  0.000  0.000  0.000  0.000  0.353
   3.99352    -13.398622  0.281  0.019  0.000  0.056  0.000  0.000  0.000  0.000  0.000  0.357
   4.03121    -13.234992  0.293  0.017  0.000  0.051  0.000  0.000  0.000  0.000  0.000  0.361
   4.06890    -13.168280  0.300  0.016  0.000  0.047  0.000  0.000  0.000  0.000  0.000  0.363
   4.06890    -13.168280  0.300  0.016  0.000  0.047  0.000  0.000  0.000  0.000  0.000  0.363
   4.11436    -13.171801  0.299  0.016  0.000  0.048  0.000  0.000  0.000  0.000  0.000  0.363
   4.15983    -13.181589  0.296  0.015  0.000  0.051  0.000  0.000  0.000  0.000  0.000  0.362
   4.20529    -13.195621  0.291  0.015  0.000  0.055  0.000  0.000  0.000  0.000  0.000  0.361
   4.25075    -13.211330  0.287  0.014  0.000  0.060  0.000  0.000  0.000  0.000  0.000  0.360
   4.29622    -13.226214  0.282  0.012  0.000  0.064  0.000  0.000  0.000  0.000  0.000  0.359
