#K-Path          Energy      Orbital-Weight
# NKPTS & NBANDS: 120  16
# Band-Index    1
   1.53537    -13.206493     0.333
   1.51353    -13.212047     0.333
   1.49170    -13.215387     0.333
   1.46987    -13.216499     0.333
   1.46987    -13.216499     0.333
   1.43218    -13.144091     0.335
   1.39449    -12.963175     0.339
   1.35680    -12.725561     0.343
   1.31911    -12.458584     0.346
   1.28142    -12.174290     0.349
   1.24373    -11.878211     0.351
   1.20604    -11.573338     0.354
   1.16836    -11.261421     0.356
   1.13067    -10.943560     0.358
   1.09298    -10.620702     0.360
   1.05529    -10.293456     0.361
   1.01760     -9.962515     0.363
   0.97991     -9.628385     0.365
   0.94222     -9.291700     0.367
   0.90453     -8.953090     0.369
   0.86684     -8.613057     0.371
   0.82916     -8.272366     0.373
   0.79147     -7.931700     0.375
   0.75378     -7.591817     0.377
   0.71609     -7.253568     0.379
   0.67840     -6.917875     0.380
   0.64071     -6.585743     0.383
   0.60302     -6.442218     0.220
   0.56533     -6.581959     0.219
   0.52764     -6.713219     0.219
   0.48996     -6.835872     0.218
   0.45227     -6.949821     0.218
   0.41458     -7.054934     0.218
   0.37689     -7.151145     0.217
   0.33920     -7.238391     0.217
   0.30151     -7.316605     0.217
   0.26382     -7.385732     0.216
   0.22613     -7.445734     0.216
   0.18844     -7.496570     0.216
   0.15076     -7.538198     0.216
   0.11307     -7.570604     0.216
   0.07538     -7.593761     0.216
   0.03769     -7.607668     0.216
   0.00000     -7.612297     0.216
 
# Band-Index    3
   0.00000     -3.013092     0.412
   0.03769     -3.029123     0.411
   0.07538     -3.077692     0.411
   0.11307     -3.158174     0.410
   0.15076     -3.269214     0.409
   0.18844     -3.409142     0.408
   0.22613     -3.576028     0.407
   0.26382     -3.767774     0.405
   0.30151     -3.982166     0.403
   0.33920     -4.216941     0.401
   0.37689     -4.469905     0.398
   0.41458     -4.738899     0.396
   0.45227     -5.021911     0.394
   0.48996     -5.317035     0.392
   0.52764     -5.622537     0.390
   0.56533     -5.936796     0.388
   0.60302     -6.258303     0.386
   0.64071     -6.294139     0.221
   0.67840     -6.137877     0.221
   0.71609     -5.973646     0.222
   0.75378     -5.801659     0.223
   0.79147     -5.622174     0.224
   0.82916     -5.435512     0.225
   0.86684     -5.415484     0.396
   0.90453     -5.524285     0.396
   0.94222     -5.627433     0.395
   0.97991     -5.724628     0.394
   1.01760     -5.815590     0.394
   1.05529     -5.900102     0.394
   1.09298     -5.977905     0.394
   1.13067     -6.048805     0.394
   1.16836     -6.112656     0.394
   1.20604     -6.169304     0.394
   1.24373     -6.218627     0.394
   1.28142     -6.260523     0.394
   1.31911     -6.294927     0.394
   1.35680     -6.321749     0.393
   1.39449     -6.340947     0.393
   1.43218     -6.352483     0.393
   1.46987     -6.356331     0.393
   1.46987     -6.356331     0.393
   1.49170     -6.362230     0.393
   1.51353     -6.379908     0.394
   1.53537     -6.409196     0.393
   1.55720     -6.449886     0.392
   1.57903     -6.501684     0.391
   1.60087     -6.564191     0.390
   1.62270     -6.636982     0.389
   1.64453     -6.719546     0.388
   1.66637     -6.811323     0.386
   1.68820     -6.911796     0.385
   1.71003     -7.020363     0.383
   1.73187     -7.136405     0.381
   1.75370     -7.259311     0.380
   1.77553     -7.388459     0.378
   1.79737     -7.523248     0.377
   1.81920     -7.663111     0.374
   1.84103     -7.807417     0.372
   1.86287     -7.955596     0.371
   1.88470     -8.107083     0.368
   1.90653     -8.261252     0.366
   1.92837     -8.417601     0.365
   1.95020     -8.575496     0.363
   1.97203     -8.734363     0.360
   1.99387     -8.893559     0.358
   2.01570     -9.052459     0.356
   2.03753     -9.210287     0.353
   2.05937     -9.366195     0.350
   2.08120     -9.519225     0.347
   2.10303     -9.668296     0.345
   2.12487     -9.812032     0.343
   2.14670     -9.948820     0.340
   2.16853    -10.076798     0.336
   2.19037    -10.193761     0.333
   2.21220    -10.297239     0.330
   2.23403    -10.384811     0.327
   2.25587    -10.454218     0.325
   2.27770    -10.503892     0.323
   2.29953    -10.533390     0.322
   2.32137    -10.543227     0.321
   2.32137    -10.543227     0.321
   2.36496    -10.510298     0.322
   2.40856    -10.422622     0.324
   2.45215    -10.295306     0.327
   2.49575    -10.139296     0.331
   2.53934     -9.961848     0.333
   2.58294     -9.767739     0.335
   2.62653     -9.560131     0.339
   2.67013     -9.341260     0.342
   2.71372     -9.112749     0.344
   2.75732     -8.875925     0.347
   2.80091     -8.631843     0.349
   2.84451     -8.381467     0.351
   2.88810     -8.125682     0.353
   2.93170     -7.865342     0.357
   2.97529     -7.601278     0.360
   3.01889     -7.334340     0.362
   3.06248     -7.065418     0.365
   3.10608     -6.795433     0.367
   3.14967     -6.525343     0.371
   3.19327     -6.256180     0.373
   3.23686     -5.989016     0.377
   3.28046     -5.856484     0.223
   3.32405     -6.052826     0.222
   3.36765     -6.238322     0.221
   3.41124     -5.998619     0.393
   3.45484     -5.682732     0.394
   3.49843     -5.370879     0.395
   3.54203     -5.065124     0.398
   3.58562     -4.767858     0.399
   3.62922     -4.481798     0.400
   3.67281     -4.210052     0.402
   3.71641     -3.956111     0.404
   3.76000     -3.723820     0.406
   3.80360     -3.517274     0.407
   3.84719     -3.340674     0.410
   3.89079     -3.198202     0.409
   3.93438     -3.093783     0.411
   3.97798     -3.031557     0.412
   4.02157     -3.013092     0.412
 
# Band-Index    4
   4.02157     -3.000250     0.413
   3.97798     -3.014924     0.412
   3.93438     -3.051331     0.411
   3.89079     -3.108793     0.411
   3.84719     -3.187958     0.410
   3.80360     -3.288353     0.408
   3.76000     -3.409148     0.406
   3.71641     -3.549326     0.406
   3.67281     -3.707716     0.404
   3.62922     -3.883035     0.401
   3.58562     -4.073919     0.399
   3.54203     -4.278946     0.396
   3.49843     -4.496659     0.394
   3.45484     -4.725595     0.390
   3.41124     -4.964298     0.388
   3.36765     -5.211345     0.385
   3.32405     -5.465360     0.382
   3.28046     -5.725005     0.379
   3.23686     -5.649582     0.224
   3.19327     -5.432397     0.225
   3.14967     -5.205272     0.226
   3.10608     -4.968582     0.227
   3.06248     -4.722763     0.228
   3.01889     -4.468290     0.230
   2.97529     -4.205722     0.232
   2.93170     -3.935674     0.233
   2.88810     -3.658853     0.235
   2.84451     -3.376057     0.237
   2.80091     -3.088188     0.239
   2.75732     -2.796265     0.241
   2.71372     -2.501437     0.244
   2.67013     -2.204998     0.246
   2.62653     -1.908395     0.248
   2.58294     -1.613228     0.251
   2.53934     -1.321264     0.253
   2.49575     -1.034420     0.255
   2.45215     -0.754757     0.258
   2.40856     -0.484473     0.259
   2.36496     -0.226103     0.261
   2.32137     -0.006491     0.262
   2.32137     -0.006491     0.262
   2.29953     -0.121370     0.262
   2.27770     -0.236309     0.261
   2.25587     -0.348581     0.261
   2.23403     -0.458027     0.261
   2.21220     -0.564595     0.260
   2.19037     -0.668258     0.260
   2.16853     -0.768990     0.260
   2.14670     -0.866774     0.259
   2.12487     -0.961594     0.259
   2.10303     -1.053434     0.259
   2.08120     -1.142278     0.259
   2.05937     -1.228116     0.258
   2.03753     -1.310929     0.258
   2.01570     -1.390709     0.258
   1.99387     -1.467444     0.258
   1.97203     -1.541123     0.257
   1.95020     -1.611734     0.257
   1.92837     -1.679272     0.257
   1.90653     -1.743727     0.257
   1.88470     -1.805087     0.257
   1.86287     -1.863343     0.257
   1.84103     -1.918492     0.256
   1.81920     -1.970526     0.256
   1.79737     -2.019439     0.256
   1.77553     -2.065224     0.256
   1.75370     -2.107873     0.256
   1.73187     -2.147386     0.256
   1.71003     -2.183754     0.256
   1.68820     -2.216975     0.256
   1.66637     -2.247043     0.256
   1.64453     -2.273957     0.256
   1.62270     -2.297709     0.256
   1.60087     -2.318301     0.256
   1.57903     -2.335728     0.256
   1.55720     -2.349991     0.255
   1.53537     -2.361083     0.255
   1.51353     -2.369007     0.255
   1.49170     -2.373761     0.255
   1.46987     -2.375345     0.255
   1.46987     -2.375345     0.255
   1.43218     -2.400628     0.255
   1.39449     -2.474158     0.253
   1.35680     -2.589800     0.251
   1.31911     -2.739494     0.249
   1.28142     -2.915050     0.246
   1.24373     -3.109226     0.244
   1.20604     -3.316094     0.241
   1.16836     -3.530992     0.239
   1.13067     -3.750333     0.237
   1.09298     -3.971368     0.235
   1.05529     -4.191974     0.233
   1.01760     -4.410512     0.231
   0.97991     -4.625706     0.230
   0.94222     -4.836544     0.228
   0.90453     -5.042210     0.227
   0.86684     -5.242042     0.226
   0.82916     -5.301397     0.396
   0.79147     -5.182419     0.396
   0.75378     -5.059006     0.397
   0.71609     -4.931667     0.397
   0.67840     -4.800967     0.398
   0.64071     -4.667547     0.399
   0.60302     -4.532116     0.399
   0.56533     -4.395471     0.400
   0.52764     -4.258506     0.401
   0.48996     -4.122202     0.402
   0.45227     -3.987647     0.403
   0.41458     -3.856013     0.404
   0.37689     -3.728597     0.405
   0.33920     -3.606761     0.406
   0.30151     -3.491980     0.407
   0.26382     -3.385759     0.409
   0.22613     -3.289631     0.409
   0.18844     -3.205115     0.411
   0.15076     -3.133642     0.411
   0.11307     -3.076500     0.412
   0.07538     -3.034742     0.413
   0.03769     -3.009105     0.412
   0.00000     -3.000250     0.413
 
# Band-Index    5
   0.00000      3.282088     0.010
   0.03769      3.287348     0.010
   0.07538      3.303126     0.010
   0.11307      3.329424     0.010
   0.15076      3.366244     0.010
   0.18844      3.413589     0.010
   0.22613      3.471460     0.010
   0.26382      3.539858     0.010
   0.30151      3.618782     0.010
   0.33920      3.708230     0.010
   0.37689      3.808197     0.010
   0.41458      3.918677     0.010
   0.45227      4.039663     0.010
   0.48996      4.171143     0.010
   0.52764      4.313105     0.010
   0.56533      4.465534     0.011
   0.60302      4.628411     0.011
   0.64071      4.801714     0.011
   0.67840      4.985417     0.012
   0.71609      5.179485     0.011
   0.75378      5.383877     0.011
   0.79147      5.598537     0.012
   0.82916      5.823386     0.012
   0.86684      5.977895     0.272
   0.90453      5.632034     0.274
   0.94222      5.279666     0.272
   0.97991      4.926822     0.268
   1.01760      4.576417     0.264
   1.05529      4.230671     0.260
   1.09298      3.891730     0.256
   1.13067      3.561903     0.252
   1.16836      3.243866     0.247
   1.20604      2.940846     0.243
   1.24373      2.656833     0.239
   1.28142      2.396825     0.235
   1.31911      2.167036     0.232
   1.35680      1.974932     0.228
   1.39449      1.828876     0.225
   1.43218      1.737048     0.224
   1.46987      1.705657     0.223
   1.46987      1.705657     0.223
   1.49170      1.705315     0.223
   1.51353      1.704281     0.223
   1.53537      1.702534     0.224
   1.55720      1.700035     0.224
   1.57903      1.696732     0.225
   1.60087      1.692556     0.225
   1.62270      1.687426     0.226
   1.64453      1.681243     0.227
   1.66637      1.673895     0.228
   1.68820      1.665253     0.229
   1.71003      1.655178     0.230
   1.73187      1.643512     0.231
   1.75370      1.630088     0.233
   1.77553      1.614722     0.234
   1.79737      1.597223     0.236
   1.81920      1.577385     0.237
   1.84103      1.554995     0.239
   1.86287      1.529834     0.241
   1.88470      1.501674     0.243
   1.90653      1.470288     0.244
   1.92837      1.435448     0.246
   1.95020      1.396927     0.248
   1.97203      1.354508     0.250
   1.99387      1.307982     0.251
   2.01570      1.257152     0.253
   2.03753      1.201841     0.254
   2.05937      1.141892     0.256
   2.08120      1.077175     0.257
   2.10303      1.007584     0.258
   2.12487      0.933047     0.260
   2.14670      0.853521     0.260
   2.16853      0.769001     0.261
   2.19037      0.679513     0.262
   2.21220      0.585122     0.262
   2.23403      0.485927     0.263
   2.25587      0.382063     0.263
   2.27770      0.273720     0.263
   2.29953      0.161215     0.262
   2.32137      0.047462     0.262
   2.32137      0.047462     0.262
   2.36496      0.265258     0.263
   2.40856      0.519349     0.264
   2.45215      0.784788     0.265
   2.49575      1.060963     0.266
   2.53934      1.347541     0.268
   2.58294      1.644216     0.269
   2.62653      1.950663     0.270
   2.67013      2.266532     0.272
   2.71372      2.591435     0.274
   2.75732      2.924945     0.276
   2.80091      3.266593     0.278
   2.84451      3.615851     0.280
   2.88810      3.972139     0.283
   2.93170      4.334810     0.285
   2.97529      4.703143     0.288
   3.01889      5.076338     0.292
   3.06248      5.453510     0.295
   3.10608      5.833670     0.299
   3.14967      6.095605     0.011
   3.19327      5.822078     0.011
   3.23686      5.562337     0.011
   3.28046      5.316444     0.011
   3.32405      5.084449     0.011
   3.36765      4.866398     0.011
   3.41124      4.662325     0.011
   3.45484      4.472261     0.011
   3.49843      4.296229     0.011
   3.54203      4.134250     0.010
   3.58562      3.986340     0.010
