      #Energy        TDOS
     -17.78398       0.52801
     -17.76998       0.53222
     -17.75698       0.53645
     -17.74298       0.54068
     -17.72998       0.54492
     -17.71698       0.54917
     -17.70298       0.55343
     -17.68998       0.55769
     -17.67598       0.56197
     -17.66298       0.56625
     -17.64898       0.57054
     -17.63598       0.57484
     -17.62198       0.57915
     -17.60898       0.58346
     -17.59598       0.58779
     -17.58198       0.59212
     -17.56898       0.59646
     -17.55498       0.60081
     -17.54198       0.60515
     -17.52798       0.60943
     -17.51498       0.61368
     -17.50098       0.61792
     -17.48798       0.62216
     -17.47498       0.62639
     -17.46098       0.63061
     -17.44798       0.63484
     -17.43398       0.63905
     -17.42098       0.64326
     -17.40698       0.64747
     -17.39398       0.65167
     -17.37998       0.65587
     -17.36698       0.66006
     -17.35398       0.66425
     -17.33998       0.66843
     -17.32698       0.67261
     -17.31298       0.67679
     -17.29998       0.68097
     -17.28598       0.68516
     -17.27298       0.68935
     -17.25998       0.69355
     -17.24598       0.69775
     -17.23298       0.70195
     -17.21898       0.70616
     -17.20598       0.71037
     -17.19198       0.71459
     -17.17898       0.71880
     -17.16498       0.72303
     -17.15198       0.72725
     -17.13898       0.73148
     -17.12498       0.73572
     -17.11198       0.73996
     -17.09798       0.74420
     -17.08498       0.74844
     -17.07098       0.75269
     -17.05798       0.75695
     -17.04398       0.76121
     -17.03098       0.76547
     -17.01798       0.76973
     -17.00398       0.77400
     -16.99098       0.77828
     -16.97698       0.78255
     -16.96398       0.78683
     -16.94998       0.79112
     -16.93698       0.79541
     -16.92298       0.79970
     -16.90998       0.80400
     -16.89698       0.80830
     -16.88298       0.81261
     -16.86998       0.81692
     -16.85598       0.82125
     -16.84298       0.82557
     -16.82898       0.82991
     -16.81598       0.83424
     -16.80198       0.83859
     -16.78898       0.84294
     -16.77598       0.84730
     -16.76198       0.85166
     -16.74898       0.85603
     -16.73498       0.86041
     -16.72198       0.86478
     -16.70798       0.86916
     -16.69498       0.87352
     -16.68198       0.87787
     -16.66798       0.88221
     -16.65498       0.88653
     -16.64098       0.89085
     -16.62798       0.89515
     -16.61398       0.89944
     -16.60098       0.90373
     -16.58698       0.90802
     -16.57398       0.91231
     -16.56098       0.91660
     -16.54698       0.92089
     -16.53398       0.92519
     -16.51998       0.92948
     -16.50698       0.93377
     -16.49298       0.93807
     -16.47998       0.94237
     -16.46598       0.94666
     -16.45298       0.95096
     -16.43998       0.95526
     -16.42598       0.95956
     -16.41298       0.96386
     -16.39898       0.96816
     -16.38598       0.97246
     -16.37198       0.97676
     -16.35898       0.98106
     -16.34498       0.98536
     -16.33198       0.98967
     -16.31898       0.99397
     -16.30498       0.99828
     -16.29198       1.00259
     -16.27798       1.00691
     -16.26498       1.01123
     -16.25098       1.01555
     -16.23798       1.01988
     -16.22398       1.02422
     -16.21098       1.02855
     -16.19798       1.03289
     -16.18398       1.03724
     -16.17098       1.04159
     -16.15698       1.04594
     -16.14398       1.05030
     -16.12998       1.05466
     -16.11698       1.05903
     -16.10398       1.06340
     -16.08998       1.06778
     -16.07698       1.07215
     -16.06298       1.07654
     -16.04998       1.08092
     -16.03598       1.08532
     -16.02298       1.08971
     -16.00898       1.09411
     -15.99598       1.09852
     -15.98298       1.10293
     -15.96898       1.10734
     -15.95598       1.11175
     -15.94198       1.11617
     -15.92898       1.12060
     -15.91498       1.12503
     -15.90198       1.12946
     -15.88798       1.13390
     -15.87498       1.13834
     -15.86198       1.14279
     -15.84798       1.14724
     -15.83498       1.15169
     -15.82098       1.15615
     -15.80798       1.16062
     -15.79398       1.16509
     -15.78098       1.16956
     -15.76698       1.17404
     -15.75398       1.17853
     -15.74098       1.18302
     -15.72698       1.18750
     -15.71398       1.19198
     -15.69998       1.19645
     -15.68698       1.20091
     -15.67298       1.20537
     -15.65998       1.20984
     -15.64598       1.21430
     -15.63298       1.21877
     -15.61998       1.22323
     -15.60598       1.22770
     -15.59298       1.23217
     -15.57898       1.23664
     -15.56598       1.24111
     -15.55198       1.24558
     -15.53898       1.25005
     -15.52598       1.25452
     -15.51198       1.25900
     -15.49898       1.26348
     -15.48498       1.26797
     -15.47198       1.27247
     -15.45798       1.27697
     -15.44498       1.28147
     -15.43098       1.28598
     -15.41798       1.29049
     -15.40498       1.29502
     -15.39098       1.29954
     -15.37798       1.30407
     -15.36398       1.30861
     -15.35098       1.31316
     -15.33698       1.31770
     -15.32398       1.32226
     -15.30998       1.32682
     -15.29698       1.33138
     -15.28398       1.33595
     -15.26998       1.34053
     -15.25698       1.34511
     -15.24298       1.34970
     -15.22998       1.35429
     -15.21598       1.35889
     -15.20298       1.36349
     -15.18898       1.36810
     -15.17598       1.37271
     -15.16298       1.37733
     -15.14898       1.38196
     -15.13598       1.38660
     -15.12198       1.39126
     -15.10898       1.39594
     -15.09498       1.40063
     -15.08198       1.40535
     -15.06798       1.41008
     -15.05498       1.41483
     -15.04198       1.41961
     -15.02798       1.42440
     -15.01498       1.42921
     -15.00098       1.43404
     -14.98798       1.43889
     -14.97398       1.44376
     -14.96098       1.44865
     -14.94798       1.45356
     -14.93398       1.45849
     -14.92098       1.46343
     -14.90698       1.46840
     -14.89398       1.47338
     -14.87998       1.47839
     -14.86698       1.48341
     -14.85298       1.48845
     -14.83998       1.49352
     -14.82698       1.49860
     -14.81298       1.50370
     -14.79998       1.50882
     -14.78598       1.51396
     -14.77298       1.51911
     -14.75898       1.52429
     -14.74598       1.52949
     -14.73198       1.53470
     -14.71898       1.53994
     -14.70598       1.54520
     -14.69198       1.55047
     -14.67898       1.55576
     -14.66498       1.56108
     -14.65198       1.56641
     -14.63798       1.57203
     -14.62498       1.57794
     -14.61098       1.58408
     -14.59798       1.59046
     -14.58498       1.59705
     -14.57098       1.60383
     -14.55798       1.61055
     -14.54398       1.61719
     -14.53098       1.62378
     -14.51698       1.63029
     -14.50398       1.63675
     -14.48998       1.64314
     -14.47698       1.64946
     -14.46398       1.65573
     -14.44998       1.66192
     -14.43698       1.66806
     -14.42298       1.67413
     -14.40998       1.68013
     -14.39598       1.68608
     -14.38298       1.69195
     -14.36898       1.69811
     -14.35598       1.70512
     -14.34298       1.71308
     -14.32898       1.72157
     -14.31598       1.73079
     -14.30198       1.74028
     -14.28898       1.74911
     -14.27498       1.75726
     -14.26198       1.76471
     -14.24898       1.77147
     -14.23498       1.77755
     -14.22198       1.78297
     -14.20798       1.78788
     -14.19498       1.79233
     -14.18098       1.79643
     -14.16798       1.80028
     -14.15398       1.80391
     -14.14098       1.80742
     -14.12798       1.81090
     -14.11398       1.81433
     -14.10098       1.81772
     -14.08698       1.82108
     -14.07398       1.82439
     -14.05998       1.82767
     -14.04698       1.83091
     -14.03298       1.83410
     -14.01998       1.83726
     -14.00698       1.84038
     -13.99298       1.84347
     -13.97998       1.84651
     -13.96598       1.84951
     -13.95298       1.85248
     -13.93898       1.85540
     -13.92598       1.85829
     -13.91198       1.86114
     -13.89898       1.86395
     -13.88598       1.86672
     -13.87198       1.86945
     -13.85898       1.87214
     -13.84498       1.87479
     -13.83198       1.87740
     -13.81798       1.87998
