     #Energy         C_s        C_px        C_py        C_pz
   -19.77298     0.00000     0.00000     0.00000     0.00000
   -19.75998     0.00000     0.00000     0.00000     0.00000
   -19.74598     0.00000     0.00000     0.00000     0.00000
   -19.73298     0.00000     0.00000     0.00000     0.00000
   -19.71898     0.00000     0.00000     0.00000     0.00000
   -19.70598     0.00000     0.00000     0.00000     0.00000
   -19.69298     0.00000     0.00000     0.00000     0.00000
   -19.67898     0.00000     0.00000     0.00000     0.00000
   -19.66598     0.00000     0.00000     0.00000     0.00000
   -19.65198     0.00000     0.00000     0.00000     0.00000
   -19.63898     0.00000     0.00000     0.00000     0.00000
   -19.62498     0.00000     0.00000     0.00000     0.00000
   -19.61198     0.00000     0.00000     0.00000     0.00000
   -19.59798     0.00000     0.00000     0.00000     0.00000
   -19.58498     0.00000     0.00000     0.00000     0.00000
   -19.57198     0.00000     0.00000     0.00000     0.00000
   -19.55798     0.00000     0.00000     0.00000     0.00000
   -19.54498     0.00000     0.00000     0.00000     0.00000
   -19.53098     0.00000     0.00000     0.00000     0.00000
   -19.51798     0.00000     0.00000     0.00000     0.00000
   -19.50398     0.02832     0.00005     0.00005     0.00000
   -19.49098     0.06984     0.00013     0.00014     0.00000
   -19.47698     0.11134     0.00023     0.00023     0.00000
   -19.46398     0.15284     0.00033     0.00033     0.00000
   -19.45098     0.19432     0.00044     0.00044     0.00000
   -19.43698     0.23580     0.00056     0.00057     0.00000
   -19.42398     0.27720     0.00069     0.00070     0.00000
   -19.40998     0.31860     0.00083     0.00084     0.00000
   -19.39698     0.16488     0.00091     0.00092     0.00000
   -19.38298     0.16826     0.00099     0.00099     0.00000
   -19.36998     0.17164     0.00106     0.00107     0.00000
   -19.35598     0.17502     0.00114     0.00114     0.00000
   -19.34298     0.17840     0.00121     0.00122     0.00000
   -19.32998     0.18176     0.00129     0.00129     0.00000
   -19.31598     0.18514     0.00136     0.00137     0.00000
   -19.30298     0.18852     0.00144     0.00145     0.00000
   -19.28898     0.19190     0.00152     0.00153     0.00000
   -19.27598     0.19526     0.00160     0.00161     0.00000
   -19.26198     0.19864     0.00168     0.00169     0.00000
   -19.24898     0.20200     0.00176     0.00177     0.00000
   -19.23498     0.20540     0.00184     0.00186     0.00000
   -19.22198     0.20880     0.00193     0.00194     0.00000
   -19.20898     0.21220     0.00201     0.00202     0.00000
   -19.19498     0.21380     0.00210     0.00211     0.00000
   -19.18198     0.20920     0.00221     0.00222     0.00000
   -19.16798     0.20480     0.00232     0.00233     0.00000
   -19.15498     0.20040     0.00243     0.00244     0.00000
   -19.14098     0.19592     0.00254     0.00255     0.00000
   -19.12798     0.19148     0.00265     0.00266     0.00000
   -19.11498     0.18704     0.00275     0.00277     0.00000
   -19.10098     0.18258     0.00286     0.00287     0.00000
   -19.08798     0.18050     0.00295     0.00297     0.00000
   -19.07398     0.18162     0.00303     0.00304     0.00000
   -19.06098     0.18274     0.00310     0.00312     0.00000
   -19.04698     0.18388     0.00318     0.00319     0.00000
   -19.03398     0.18500     0.00325     0.00327     0.00000
   -19.01998     0.18612     0.00333     0.00335     0.00000
   -19.00698     0.18724     0.00341     0.00342     0.00000
